pressure_mb,verticalWind_ms,AmbientTemperature_K
558.57,-0.39,311.57
557.96,-0.32,311.51
557.35,-0.26,311.44
556.75,-0.19,311.37
556.14,-0.13,311.30
555.54,-0.06,311.23
554.93,0.00,311.16
554.32,0.07,311.09
553.72,0.13,311.02
553.11,0.20,310.95
552.50,0.26,310.88
551.90,0.33,310.81
551.29,0.39,310.74
553.30,0.46,310.96
554.31,0.46,311.01
554.51,0.44,311.05
554.70,0.42,311.10
554.90,0.40,311.14
555.10,0.39,311.18
555.30,0.37,311.23
555.49,0.35,311.28
555.69,0.33,311.32
555.69,-0.35,311.47
553.11,-0.38,311.11
550.53,-0.41,310.74
547.50,-0.35,310.52
543.72,0.41,310.16
545.61,0.94,310.38
545.87,0.82,310.38
546.50,0.84,310.52
547.25,0.38,310.62
549.64,0.40,310.71
552.04,0.43,310.81
551.91,0.35,310.89
549.90,0.35,310.67
549.52,0.00,310.59
548.51,-0.38,310.45
547.13,-0.33,310.45
547.38,0.38,310.45
547.38,0.42,310.41
547.37,0.46,310.38
549.76,-0.76,310.59
551.27,-1.10,310.89
551.78,-1.16,310.81
550.90,-0.63,310.81
549.26,-0.54,310.67
548.13,-0.68,310.55
547.05,-0.17,310.42
545.98,0.35,310.30
547.12,-0.33,310.45
547.75,-0.44,310.45
547.87,-0.68,310.45
547.75,-0.35,310.45
549.51,-0.56,310.59
551.53,-0.72,310.81
551.09,-0.52,310.78
550.64,-0.32,310.74
552.03,-1.08,311.18
553.16,-0.38,310.96
554.80,-0.70,311.18
554.92,-0.72,311.18
551.78,-1.29,310.89
553.41,-0.61,310.96
552.78,-0.58,311.03
552.15,-0.56,311.10
551.52,0.39,310.81
548.25,0.43,310.45
548.75,0.66,310.52
548.50,0.61,310.59
549.01,0.84,310.67
548.25,0.00,310.74
549.58,-0.21,310.82
550.90,-0.41,310.89
553.42,-0.74,311.03
552.66,-1.00,311.03
549.26,-1.31,310.81
549.39,-0.35,310.67
551.28,-0.76,310.81
553.42,-0.59,311.03
556.00,-0.30,311.32
558.58,0.00,311.61
559.21,-0.49,311.61
563.23,-1.39,312.05
566.50,-1.93,312.41
568.51,-1.68,312.71
569.89,-2.02,312.92
572.40,-1.85,312.85
571.62,-1.75,312.77
570.83,-1.66,312.70
570.05,-1.56,312.63
569.26,-1.47,312.56
568.48,-1.37,312.48
567.70,-1.28,312.41
566.92,-1.18,312.34
566.13,-1.09,312.27
565.35,-0.99,312.19
564.57,-0.90,312.12
563.79,-0.80,312.05
563.00,-0.71,311.98
562.22,-0.61,311.90
561.44,-0.52,311.83
560.66,-0.42,311.76
559.87,-0.33,311.69
559.09,-0.23,311.61
558.31,-0.14,311.54
557.53,-0.04,311.47
556.74,0.05,311.40
555.96,0.15,311.32
555.18,0.24,311.25
554.43,0.34,311.18
550.65,0.00,311.23
551.82,0.00,311.29
552.99,0.00,311.34
554.16,0.00,311.40
555.32,0.00,311.45
556.49,0.00,311.50
557.66,0.00,311.56
558.83,0.00,311.61
556.44,-0.34,311.47
557.95,-0.77,311.61
559.46,-1.20,311.76
557.57,-0.46,311.47
558.45,-1.37,311.54
555.56,-0.56,311.25
553.67,-0.32,311.18
554.30,-0.96,311.18
554.30,-0.98,311.11
552.98,-0.79,311.03
551.66,-0.59,310.96
550.40,-1.16,310.74
551.91,-0.80,310.96
553.04,-0.78,311.10
553.30,-0.80,310.96
552.54,-0.98,311.03
552.67,-0.84,311.03
551.59,-0.59,310.92
550.52,-0.35,310.81
547.25,-0.70,310.52
545.48,-0.36,310.59
546.11,0.00,310.59
546.37,0.00,310.81
546.24,0.00,310.59
546.11,0.00,310.64
546.24,-0.17,310.69
546.37,-0.35,310.74
548.00,-0.41,310.59
549.14,-0.59,310.67
548.63,-0.76,310.59
547.63,-0.61,310.59
547.75,-0.63,310.59
547.63,-0.70,310.45
546.43,-0.12,310.38
545.23,0.47,310.30
545.23,0.00,310.59
545.48,0.00,310.45
546.24,0.00,310.59
547.25,-0.46,310.38
547.63,-0.66,310.38
550.02,-0.90,310.57
551.66,-1.05,310.77
553.29,-1.20,310.96
554.55,-1.12,311.03
555.05,-1.24,311.18
554.17,-1.27,311.03
552.16,-1.31,310.89
552.41,-1.16,310.96
552.16,-1.29,311.03
553.48,-0.88,311.11
554.80,-0.47,311.18
555.93,-0.36,311.32
557.07,-1.16,311.54
559.58,-0.86,311.61
559.33,-0.47,311.61
563.73,0.00,312.12
562.98,-0.54,312.05
559.02,-0.69,311.73
555.05,-0.84,311.40
553.67,-1.02,311.18
553.04,-0.98,311.03
553.42,-1.02,311.03
551.78,-1.33,310.89
550.65,-0.82,310.81
549.64,-0.68,310.82
549.77,-0.69,310.83
549.90,-0.69,310.84
550.03,-0.70,310.85
550.16,-0.71,310.86
550.29,-0.71,310.88
550.42,-0.72,310.89
550.54,-0.72,310.90
550.67,-0.73,310.91
550.80,-0.74,310.92
550.93,-0.74,310.93
551.06,-0.75,310.94
551.19,-0.76,310.95
551.32,-0.76,310.96
551.45,-0.77,310.97
551.58,-0.78,310.98
551.71,-0.78,310.99
551.84,-0.79,311.01
551.97,-0.79,311.02
552.10,-0.80,311.03
552.23,-0.81,311.04
552.35,-0.81,311.05
552.48,-0.82,311.06
552.61,-0.83,311.07
552.74,-0.83,311.08
552.87,-0.84,311.09
553.00,-0.85,311.10
553.13,-0.85,311.11
553.26,-0.86,311.12
553.39,-0.87,311.14
553.52,-0.87,311.15
553.65,-0.88,311.16
553.78,-0.88,311.17
553.91,-0.89,311.18
554.04,-0.90,311.19
554.17,-0.90,311.20
554.30,-0.91,311.21
554.43,-0.92,311.22
554.56,-0.92,311.23
554.68,-0.93,311.24
554.81,-0.94,311.25
554.94,-0.94,311.27
555.07,-0.95,311.28
555.20,-0.95,311.29
555.33,-0.96,311.30
555.46,-0.97,311.31
555.59,-0.97,311.32
556.72,-0.98,311.40
557.85,-1.04,311.54
558.91,-0.80,311.65
559.96,-0.57,311.76
559.71,-1.27,311.76
561.47,-1.18,311.91
561.59,0.00,311.98
560.54,0.05,311.87
559.49,0.11,311.76
558.45,0.17,311.65
557.40,0.22,311.54
556.35,0.28,311.43
555.30,0.33,311.32
554.42,0.61,311.18
554.17,0.46,311.18
552.79,0.40,311.03
553.04,0.50,310.96
553.29,0.47,311.03
553.48,0.46,311.06
553.67,0.44,311.10
555.68,0.59,311.18
556.31,0.00,311.32
555.68,0.32,311.25
555.30,0.38,311.25
553.29,0.38,311.03
