 -55.50   0.50  3844.47
 -55.50   1.50  3829.19
 -55.50   2.50  3799.38
 -55.50   3.50  3769.87
 -55.50   4.50  3751.08
 -55.50   5.50  3730.60
 -55.50   6.50  3705.57
 -55.50   7.50  3692.54
 -55.50   8.50  3677.44
 -55.50   9.50  3659.98
 -55.50  10.50  3637.51
 -55.50  11.50  3621.25
 -55.50  12.50  3611.56
 -55.50  13.50  3592.85
 -55.50  14.50  3583.60
 -55.50  15.50  3566.62
 -55.50  16.50  3533.05
 -55.50  17.50  3516.02
 -55.50  18.50  3494.36
 -55.50  19.50  3470.37
 -55.50  20.50  3456.81
 -55.50  21.50  3417.20
 -55.50  22.50  3363.36
 -55.50  23.50  3309.26
 -55.50  24.50  3255.48
 -55.50  25.50  3201.30
 -55.50  26.50  3147.48
 -55.50  27.50  3093.32
 -55.50  28.50  3039.18
 -55.50  29.50  2961.25
 -55.50  30.50  2961.55
 -55.50  31.50  3018.74
 -55.50  32.50  3025.05
 -55.50  33.50  2872.95
 -55.50  34.50  2408.00
 -55.50  35.50  1804.27
 -55.50  36.50  1329.46
 -55.50  37.50  1018.66
 -55.50  38.50  1000.00
 -55.50  39.50  1000.50
 -55.50  40.50  1000.00
 -55.50  41.50  1000.00
 -55.50  42.50  1000.00
 -55.50  43.50  1000.00
 -55.50  44.50  1000.00
 -55.50  45.50  1000.00
 -55.50  46.50  1014.46
 -55.50  47.50  1071.47
 -55.50  48.50  1270.00
 -55.50  49.50  1625.25
 -55.50  50.50  1983.49
 -55.50  51.50  2164.41
 -55.50  52.50  2329.78
 -55.50  53.50  2503.25
 -55.50  54.50  2685.14
 -55.50  55.50  2845.92
 -55.50  56.50  2903.31
 -55.50  57.50  2987.87
 -55.50  58.50  3099.60
 -55.50  59.50  3127.19
 -55.50  60.50  3087.22
 -55.50  61.50  3090.39
 -55.50  62.50  3071.91
 -55.50  63.50  3041.49
 -55.50  64.50  2980.64
 -55.50  65.50  2930.92
 -55.50  66.50  2896.40
 -55.50  67.50  2896.36
 -55.50  68.50  2901.12
 -55.50  69.50  2933.29
 -55.50  70.50  2923.15
 -55.50  71.50  2943.42
 -55.50  72.50  2925.14
 -55.50  73.50  2904.82
 -55.50  74.50  2895.79
 -55.50  75.50  2885.51
 -55.50  76.50  2878.70
 -55.50  77.50  2876.09
 -55.50  78.50  2881.19
 -55.50  79.50  2890.90
 -55.50  80.50  2902.64
 -55.50  81.50  2910.18
 -55.50  82.50  2914.84
 -55.50  83.50  2933.06
 -55.50  84.50  2960.35
 -55.50  85.50  2959.17
 -55.50  86.50  2841.01
 -55.50  87.50  3402.79
 -55.50  88.50  3917.19
 -55.50  89.50  4208.96
 -55.50  90.50  4447.18
 -55.50  91.50  4685.45
 -55.50  92.50  4922.05
 -55.50  93.50  5161.70
 -55.50  94.50  5401.20
 -55.50  95.50  5642.24
 -55.50  96.50  5868.44
 -55.50  97.50  5956.77
